"SAMPLE 2023-01-13_08-39-52 csv_sources\0_fertoing_source.csv search_mode='any' keywords=['болт', 'винт', 'гайка', 'шайба', 'шуруп'] exclude=[]"
"Болт / Винт М2,5х18 А2 нерж DIN 912 ISO 4762 ГОСТ 11738-84","{'din': '912', 'gost': '11738-84', 'iso': '4762', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'2,5': 1, '18': 1}), 'K': {'винт', 'болт'}}"
"Болт / Винт М2,5х20 А2 нерж DIN 912 ГОСТ 11738-84","{'din': '912', 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'2,5': 1, '20': 1}), 'K': {'винт', 'болт'}}"
"Болт / Винт М2,5х30 А2 нерж DIN 912 ISO 4762 ГОСТ 11738-84","{'din': '912', 'gost': '11738-84', 'iso': '4762', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'2,5': 1, '30': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М2х20 А2 нерж DIN 912 / ISO 4762 / ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': '4762', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'2': 1, '20': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М2х30 А2 нерж DIN 912 ISO 4762 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': '4762', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'2': 1, '30': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М3х10 А4 DIN 912 / ISO 4762 / ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': '4762', 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'3': 1, '10': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М3х20 А2 нерж DIN 912 ISO 4762 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': '4762', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'3': 1, '20': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М3х25 А2 нерж DIN 912 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'3': 1, '25': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М3х30 А4 DIN 912 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'3': 1, '30': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М4х30 А4 DIN 912 ISO 4762 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': '4762', 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'4': 1, '30': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М4х40 А4 DIN 912 ISO 4762 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': '4762', 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'4': 1, '40': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М4х50 А4 нерж DIN 912 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'4': 1, '50': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М5х35 А4 DIN 912 / ISO 4762 / ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': '4762', 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'5': 1, '35': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М5х40 А2 нерж DIN 912 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1, '40': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М6х10 А2 нерж DIN 912 ISO 4762 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': '4762', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '10': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М6х16 А2 нерж DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '16': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М6х20 А2 нерж DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '20': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М6х30 А2 нерж DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '30': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М6х30 А4 нерж DIN 912 ISO 4762 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': '4762', 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1, '30': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М6х35 А2 нерж DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '35': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М6х40 А4-80 нерж DIN 912 / ISO 4762 / ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': '4762', 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1, '40': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М6х45 А2-нерж DIN 965/ ISO 7046 / ГОСТ 17475-80,"{'din': '965', 'gost': '17475-80', 'iso': '7046', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '45': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М6х45 Цинк DIN 965/ ISO 7046 / ГОСТ 17475-80,"{'din': '965', 'gost': '17475-80', 'iso': '7046', 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '45': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М6х50 А2 нерж DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '50': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М6х60 А2 нерж DIN 912 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '60': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М6х80 А4 нерж DIN 912 / ISO 4762 / ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': '4762', 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1, '80': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М8х16 А2 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '16': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М8х20 А2 нерж DIN 912 / ISO 4762 / ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': '4762', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '20': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М8х20 А4 нерж DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1, '20': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М8х30 А2 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '30': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М8х30 А4 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1, '30': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М8х35 А2 DIN 912 / ISO 4762,"{'din': '912', 'gost': None, 'iso': '4762', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '35': 1}), 'K': {'винт', 'болт'}}"
Болт / винт М8х35 А4 DIN 912 / ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1, '35': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М8х40 А2 DIN 912 / ISO 4762 / ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': '4762', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '40': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М8х50 А2 нержавеющий DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '50': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М8х60 А2 нерж DIN 912 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '60': 1}), 'K': {'винт', 'болт'}}"
Болт / Винт М8х90 А2 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '90': 1}), 'K': {'винт', 'болт'}}"
Болт / винт с внутренним шестигранником М10х120 нержавеющий А2 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '120': 1}), 'K': {'винт', 'болт', 'шестигранник'}}"
Болт 071-09-027__НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'071': 1, '09': 1, '027': 1}), 'K': {'болт'}}"
"Болт 1/4-20*1,5 Zn_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'1': 1, '4': 1, '20': 1, '1,5': 1}), 'K': {'болт'}}"
Болт 10210100 США_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'10210100': 1}), 'K': {'болт', 'сша'}}"
"Болт 10х100 8,8 ш цинк DIN 933_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': '8.8', 'T': Counter({'10': 1, '100': 1}), 'K': {'болт'}}"
Болт 10х20мм_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'10': 1, '20': 1}), 'K': {'болт'}}"
Болт 10х40 с ш/гр головкой/ нерж./_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'SS', 'fastener_class': None, 'T': Counter({'10': 1, '40': 1}), 'K': {'болт', 'головка'}}"
Болт 10х50 полная резьба шестигранник (250шт)_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'10': 1, '50': 1, '250': 1}), 'K': {'болт', 'резьба', 'шестигранник'}}"
Болт 12х50 А2 DIN 933 (50шт)_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'50': 2, '12': 1}), 'K': {'болт'}}"
Болт 14х60_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'14': 1, '60': 1}), 'K': {'болт'}}"
Болт 1549-DET,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'1549': 1, 'det': 1}), 'K': {'болт'}}"
Болт 1N-7337 насоса GP-WA 0S-1591_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'1': 1, '7337': 1, 'gp': 1, 'wa': 1, '0': 1, '1591': 1}), 'K': {'болт', 'насос'}}"
"Болт 3/8-16х2,0 Gr5 Zn_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1, '8': 1, '16': 1, '2,0': 1, 'gr': 1, '5': 1}), 'K': {'болт'}}"
Болт 4*16_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'4': 1, '16': 1}), 'K': {'болт'}}"
Болт 4*20_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'4': 1, '20': 1}), 'K': {'болт'}}"
Болт 5*10 А2 Д933_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1, '10': 1, '933': 1}), 'K': {'болт'}}"
"""Болт 5/8"""" UNCх1 1/4"""" (32 мм) 8.8 цинк ART 83933 DIN 933""","{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': '8.8', 'T': Counter({'1': 2, '5': 1, '8': 1, 'unc': 1, '4': 1, '32': 1, 'art': 1, '83933': 1}), 'K': {'болт'}}"
Болт 560-603,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'560': 1, '603': 1}), 'K': {'болт'}}"
болт 5х12 с ш/гр. головкой_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'5': 1, '12': 1, '.': 1}), 'K': {'болт', 'головка'}}"
Болт 6 PT 1/2-20 STD 001-7519,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'6': 1, 'pt': 1, '1': 1, '2': 1, '20': 1, 'std': 1, '001': 1, '7519': 1}), 'K': {'болт'}}"
Болт 6 PT 5/8-18 STD 001-7520,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'6': 1, 'pt': 1, '5': 1, '8': 1, '18': 1, 'std': 1, '001': 1, '7520': 1}), 'K': {'болт'}}"
Болт 6010110371_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'6010110371': 1}), 'K': {'болт'}}"
Болт 6x60,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'6': 1, '60': 1}), 'K': {'болт'}}"
болт 6х20 с ш/гр. головкой_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'6': 1, '20': 1, '.': 1}), 'K': {'болт', 'головка'}}"
Болт 6х25 мм,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'6': 1, '25': 1}), 'K': {'болт'}}"
"Болт 6х30, полная резьба, шестигранник /250шт/_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'6': 1, '30,': 1, ',': 1, '250': 1}), 'K': {'болт', 'резьба', 'шестигранник'}}"
"Болт 8,8 М12x110 Zn ГОСТ 7798-70","{'din': None, 'gost': '7798-70', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': '8.8', 'T': Counter({'12': 1, '110': 1}), 'K': {'болт'}}"
"Болт 8,8 М6х30 Zn ГОСТ 7798-70","{'din': None, 'gost': '7798-70', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': '8.8', 'T': Counter({'6': 1, '30': 1}), 'K': {'болт'}}"
"Болт 8,8 М8x20 Zn DIN 933 ГОСТ 7798-70","{'din': '933', 'gost': '7798-70', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': '8.8', 'T': Counter({'8': 1, '20': 1}), 'K': {'болт'}}"
