"SAMPLE 2023-01-13_08-39-52 csv_sources\0_fertoing_source.csv search_mode='any' keywords=['болт', 'винт', 'гайка', 'шайба', 'шуруп'] exclude=[]"
Винт оцинкованный М5х30 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '30': 1}), 'K': {'винт'}}"
Винт оцинкованный М6х50 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '50': 1}), 'K': {'винт'}}"
Винт оцинкованный М8х20 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '20': 1}), 'K': {'винт'}}"
Винт оцинкованный М8х40 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '40': 1}), 'K': {'винт'}}"
Винт оцинкованный М8х60 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '60': 1}), 'K': {'винт'}}"
Винт подкладной пластины CNCM DSP0612 (SM6х10XA1),"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A1', 'fastener_class': None, 'T': Counter({'cncm': 1, 'dsp': 1, '0612': 1, 'sm': 1, '6': 1, '10': 1, 'xa': 1, '1': 1}), 'K': {'винт', 'пластина'}}"
Винт порта иллюминатора KMDSI SL-KMB_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'kmdsi': 1, 'sl': 1, 'kmb': 1}), 'K': {'винт', 'иллюминатор', 'порт'}}"
Винт прижима AKV-22-M8x1x14,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'akv': 1, '22': 1, '8': 1, '1': 1, '14': 1}), 'K': {'винт', 'прижим'}}"
Винт прижима CNCM DSP0612 (SM6х10XA1),"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A1', 'fastener_class': None, 'T': Counter({'cncm': 1, 'dsp': 1, '0612': 1, 'sm': 1, '6': 1, '10': 1, 'xa': 1, '1': 1}), 'K': {'винт', 'прижим'}}"
Винт с внутренним шестигранником и цилиндрической головкой М3x10 А4 DIN 912 ГОСТ 11738-84,"{'din': '912', 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'3': 1, '10': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с внутренним шестигранником М10х120 нержавеющий А2 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '120': 1}), 'K': {'винт', 'шестигранник'}}"
Винт с гладкой головкой и квадратным подголовником м6х16-,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'6': 1, '16': 1}), 'K': {'винт', 'головка', 'подголовник'}}"
Винт с головкой под шестигранник SHCS 5/16-18X3 CADMIUM PLD UNB 001-4577,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'shcs': 1, '5': 1, '16': 1, '18': 1, '3': 1, 'cadmium': 1, 'pld': 1, 'unb': 1, '001': 1, '4577': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
"Винт с квадратным подголовником M6x10, гальванически оцинкованная сталь","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '10,': 1}), 'K': {'винт', 'подголовник'}}"
"Винт с квадратным подголовником M6x10, гальванически оцинкованная стальCM010610","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '10,': 1}), 'K': {'винт', 'подголовник'}}"
Винт с крестообразным шлицем М6х10СМ010610,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'6': 1, '10': 1, '010610': 1}), 'K': {'винт', 'шлиц'}}"
Винт с низкой цилиндрической головкой и внутренним шестигранником М3х10 А2- Нерж. DIN 7984,"{'din': '7984', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'3': 1, '10': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с низкой цилиндрической головкой и внутренним шестигранником М3х20 А2- Нерж. DIN 7984,"{'din': '7984', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'3': 1, '20': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с низкой цилиндрической головкой и внутренним шестигранником М3х6 А2- Нерж. DIN 7984,"{'din': '7984', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'3': 1, '6': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с низкой цилиндрической головкой и внутренним шестигранником М4х10 А2- Нерж. DIN 7984,"{'din': '7984', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'4': 1, '10': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с низкой цилиндрической головкой и внутренним шестигранником М4х16 А2- Нерж. DIN 7984,"{'din': '7984', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'4': 1, '16': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с низкой цилиндрической головкой и внутренним шестигранником М4х25 А2- Нерж. DIN 7984,"{'din': '7984', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'4': 1, '25': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с низкой цилиндрической головкой и внутренним шестигранником М5х12 А4- Нерж. DIN 7984,"{'din': '7984', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'5': 1, '12': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с низкой цилиндрической головкой и внутренним шестигранником М6х12 А2- Нерж. DIN 7984,"{'din': '7984', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '12': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с низкой цилиндрической головкой и внутренним шестигранником М6х20 А2- Нерж. DIN 7984,"{'din': '7984', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '20': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с полукруглой головкой и внутренним шестигранником М10х45 А2 нержавеющий ISO 7380-1,"{'din': None, 'gost': None, 'iso': '7380-1', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '45': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с полукруглой головкой и внутренним шестигранником М4х10 А2 нержавеющий ISO 7380-1,"{'din': None, 'gost': None, 'iso': '7380-1', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'4': 1, '10': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с полукруглой головкой и внутренним шестигранником М4х8 А2 нержавеющий ISO 7380,"{'din': None, 'gost': None, 'iso': '7380', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'4': 1, '8': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с полукруглой головкой и внутренним шестигранником М5х10 А4 нержавеющий ISO 7380-1,"{'din': None, 'gost': None, 'iso': '7380-1', 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'5': 1, '10': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с полукруглой головкой и внутренним шестигранником М5х12 А2 нержавеющий ISO 7380-1,"{'din': None, 'gost': None, 'iso': '7380-1', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1, '12': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с полукруглой головкой и внутренним шестигранником М5х25 А2 нержавеющий ISO 7380-1,"{'din': None, 'gost': None, 'iso': '7380-1', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1, '25': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с полукруглой головкой и внутренним шестигранником М5х35 А2 нержавеющий ISO 7380-1,"{'din': None, 'gost': None, 'iso': '7380-1', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1, '35': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с полукруглой головкой и внутренним шестигранником М6х50 А2 ISO 7380,"{'din': None, 'gost': None, 'iso': '7380', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '50': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с полукруглой головкой и внутренним шестигранником М6х8 нержавеющий ISO 7380,"{'din': None, 'gost': None, 'iso': '7380', 'sku': None, 'fastener_plating': 'SS', 'fastener_class': None, 'T': Counter({'6': 1, '8': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с полукруглой головкой и внутренним шестигранником М8х30 А2 ISO 7380,"{'din': None, 'gost': None, 'iso': '7380', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '30': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с полукруглой головкой и крестообразным шлицем М3х8 А2 нержавеющий DIN 7985,"{'din': '7985', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'3': 1, '8': 1}), 'K': {'винт', 'головка', 'шлиц'}}"
Винт с полукруглой головкой М 6*50мм_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'6': 1, '50': 1}), 'K': {'винт', 'головка'}}"
Винт с полукруглой головкой М3х12 из нержавеющей стали А4 DIN 7985,"{'din': '7985', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'3': 1, '12': 1}), 'K': {'винт', 'головка'}}"
Винт с полукруглой головкой М3х14 из нержавеющей стали А4 DIN 7985,"{'din': '7985', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'3': 1, '14': 1}), 'K': {'винт', 'головка'}}"
Винт с полукруглой головкой М3х16 оцинкованный DIN 7985,"{'din': '7985', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1, '16': 1}), 'K': {'винт', 'головка'}}"
Винт с полукруглой головкой М3х40 из нержавеющей стали А4 DIN 7985,"{'din': '7985', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'3': 1, '40': 1}), 'K': {'винт', 'головка'}}"
Винт с полукруглой головкой М3х6 DIN 7985,"{'din': '7985', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1, '6': 1}), 'K': {'винт', 'головка'}}"
Винт с полукруглой головкой М3х8 DIN 7985,"{'din': '7985', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1, '8': 1}), 'K': {'винт', 'головка'}}"
Винт с полукруглой головкой М3х8 оцинкованный DIN 7985,"{'din': '7985', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1, '8': 1}), 'K': {'винт', 'головка'}}"
Винт с полукруглой головкой М4х16 из нержавеющей стали А4 DIN 7985,"{'din': '7985', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'4': 1, '16': 1}), 'K': {'винт', 'головка'}}"
Винт с полукруглой головкой М4х16 оцинкованный DIN 7985,"{'din': '7985', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '16': 1}), 'K': {'винт', 'головка'}}"
Винт с полукруглой головкой М4х40 оцинкованный DIN 7985,"{'din': '7985', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '40': 1}), 'K': {'винт', 'головка'}}"
Винт с полуцилиндрический 6х20 мм,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'6': 1, '20': 1}), 'K': {'винт'}}"
Винт с полуцилиндрический 8х20 мм,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'8': 1, '20': 1}), 'K': {'винт'}}"
Винт с потай головкой 6х25 мм/нерж/ А2 965 DIN_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '25': 1, '965': 1, 'din': 1}), 'K': {'винт', 'потая', 'головка'}}"
Винт с потайной головкой и внутренним шестигранником DR 1 2-13UNC-2B x 1-1 4 SCR-S34081_НЕ_ИСПОЛЬЗУЕ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'1': 3, '2': 2, 'dr': 1, '13': 1, 'unc': 1, '4': 1, 'scr': 1, '34081': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М10x120 DIN 7991_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '120': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М10х50 DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '50': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М10х50 А2 нержавеющий DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '50': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М10х60 DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '60': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М12х100 DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '100': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М12х120 DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '120': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М12х30 А2 нержавеющий DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'12': 1, '30': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М12х60 А2 нержавеющий DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'12': 1, '60': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М16х90 А2 нержавеющий DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'16': 1, '90': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М3х20 нержавеющий А2 DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'3': 1, '20': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М3х30 нержавеющий А2 DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'3': 1, '30': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М4х16 DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '16': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М4х20 нержавеющий А2 DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'4': 1, '20': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М4х30 нержавеющая сталь А2 DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'4': 1, '30': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М5х12 А4 нержавеющий DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'5': 1, '12': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М5х20 DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '20': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М5х30 DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '30': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М5х35 А2 нержавеющий DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1, '35': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М5х40 А2 нержавеющий DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1, '40': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М5х40 А4 нержавеющий DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'5': 1, '40': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М5х50 нержавеющий А2 DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1, '50': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М6х20 DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '20': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М6х20 DIN 7991_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '20': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М6х30 DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '30': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М6х30 А2 нержавеющий DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '30': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М6х40 DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '40': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М6х40 А2 нержавеющий DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '40': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
"Винт с потайной головкой и внутренним шестигранником М6х45 8,8 оцинкованный DIN 7991","{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': '8.8', 'T': Counter({'6': 1, '45': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М6х50 DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '50': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М6х50 А2 нержавеющий DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '50': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М6х60 А4 нержавеющий DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1, '60': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М6х80 DIN 7991_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '80': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М8х110 нержавеющая сталь А2 DIN 7991_НЕ_ИСПОЛЬЗ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '110': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М8х16 А2 нержавеющий DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '16': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М8х30 А2 нержавеющий DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '30': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М8х40 цинк 8.8 DIN 7991 / ISO 10642,"{'din': '7991', 'gost': None, 'iso': '10642', 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': '8.8', 'T': Counter({'8': 1, '40': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М8х50 А4 нержавеющий DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1, '50': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и внутренним шестигранником М8х80 DIN 7991_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '80': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с потайной головкой и крестообразным шлицем 3х25 DIN 965,"{'din': '965', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1, '25': 1}), 'K': {'винт', 'головка', 'шлиц'}}"
Винт с потайной головкой и крестообразным шлицем 6х25 DIN 965,"{'din': '965', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '25': 1}), 'K': {'винт', 'головка', 'шлиц'}}"
Винт с потайной головкой и крестообразным шлицем М3х10 А2 нержавеющий DIN 965,"{'din': '965', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'3': 1, '10': 1}), 'K': {'винт', 'головка', 'шлиц'}}"
Винт с потайной головкой и крестообразным шлицем М3х6 А2 нержавеющий DIN 965,"{'din': '965', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'3': 1, '6': 1}), 'K': {'винт', 'головка', 'шлиц'}}"
Винт с потайной головкой и крестообразным шлицем М4х30 DIN 965,"{'din': '965', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '30': 1}), 'K': {'винт', 'головка', 'шлиц'}}"
Винт с потайной головкой и крестообразным шлицем М5x60 DIN 965,"{'din': '965', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '60': 1}), 'K': {'винт', 'головка', 'шлиц'}}"
Винт с потайной головкой М5х80 А2 DIN 965 / ISO 7046 / ГОСТ 17475-80,"{'din': '965', 'gost': '17475-80', 'iso': '7046', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1, '80': 1}), 'K': {'винт', 'головка'}}"
Винт с потайной головкой М6х30 DIN 965,"{'din': '965', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '30': 1}), 'K': {'винт', 'головка'}}"
Винт с потайной головкой_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter(), 'K': {'винт', 'головка'}}"
Винт с цилиндрической головкой и внутренним шестигранником 8.8 М8х50 цинк DIN 912 / ISO 4762,"{'din': '912', 'gost': None, 'iso': '4762', 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': '8.8', 'T': Counter({'8': 1, '50': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
